File Name,Process,Start Time,End Time,Processing Duration,Status
"4 THE ANTI TERRORISM ACT, 1997",Line 16 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 17 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 18 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 19 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 20 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 21 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:01,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 22 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 23 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 24 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 25 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 26 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 27 OCR on Page 2,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Page 3 to Lines,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 1 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 2 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 3 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 4 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 5 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 6 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 7 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 8 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 9 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 10 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 11 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 12 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 13 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 14 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 16 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 17 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 18 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 19 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 20 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 21 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 22 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 23 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 24 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 25 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 26 OCR on Page 3,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Page 4 to Lines,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 1 OCR on Page 4,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 2 OCR on Page 4,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 3 OCR on Page 4,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 4 OCR on Page 4,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 5 OCR on Page 4,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 6 OCR on Page 4,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
"4 THE ANTI TERRORISM ACT, 1997",Line 7 OCR on Page 4,11/19/2024 10:15,11/19/2024 10:15,0:00:00,Success
